iteration,quality_00,quality_01,quality_02,quality_03,quality_04,quality_05,quality_06,quality_07,quality_08,quality_09
0,2000,1994,1964,1993,1984,1972,2017,1986,1984,1945
1,1946,1913,1892,1932,1918,1878,1953,1926,1895,1885
2,1917,1878,1871,1903,1863,1869,1928,1902,1895,1873
3,1914,1878,1832,1898,1863,1836,1900,1884,1849,1841
4,1890,1878,1799,1877,1863,1825,1896,1861,1849,1830
5,1880,1863,1799,1842,1861,1806,1861,1845,1849,1830
6,1849,1849,1740,1828,1833,1769,1841,1817,1819,1796
7,1826,1827,1740,1828,1833,1748,1813,1804,1819,1794
8,1826,1827,1738,1828,1820,1743,1807,1771,1819,1792
9,1826,1811,1738,1812,1820,1743,1785,1771,1767,1783
10,1808,1803,1738,1769,1795,1689,1785,1707,1759,1765
11,1807,1796,1703,1765,1726,1689,1754,1707,1759,1747
12,1791,1754,1703,1765,1723,1689,1745,1707,1759,1736
13,1756,1712,1703,1747,1722,1655,1690,1693,1759,1703
14,1756,1704,1686,1742,1722,1631,1690,1693,1724,1690
15,1729,1704,1686,1709,1722,1631,1690,1684,1724,1668
16,1729,1704,1681,1709,1700,1621,1690,1636,1724,1657
17,1716,1704,1665,1668,1683,1615,1690,1608,1724,1657
18,1716,1686,1661,1642,1649,1611,1690,1608,1724,1657
19,1681,1686,1641,1642,1649,1606,1690,1608,1724,1610
20,1681,1670,1641,1639,1649,1591,1654,1608,1707,1610
21,1681,1670,1604,1639,1617,1591,1654,1608,1665,1610
22,1681,1663,1594,1639,1616,1591,1649,1556,1652,1610
23,1621,1663,1594,1616,1600,1591,1649,1556,1640,1567
24,1616,1663,1594,1616,1600,1578,1630,1556,1640,1567
25,1571,1663,1594,1616,1594,1578,1602,1556,1640,1567
26,1571,1648,1588,1616,1594,1525,1602,1556,1609,1552
27,1559,1615,1588,1602,1589,1525,1602,1520,1567,1533
28,1559,1615,1588,1576,1589,1525,1550,1520,1547,1533
29,1534,1615,1588,1576,1589,1525,1550,1513,1547,1533
30,1509,1609,1588,1561,1589,1525,1550,1491,1541,1533
31,1509,1609,1577,1537,1578,1525,1550,1482,1535,1528
32,1509,1609,1569,1530,1577,1525,1550,1482,1494,1512
33,1509,1600,1559,1486,1577,1523,1545,1448,1494,1508
34,1509,1594,1542,1486,1577,1495,1517,1448,1492,1508
35,1509,1594,1538,1486,1566,1495,1517,1448,1483,1500
36,1509,1568,1531,1483,1562,1495,1517,1448,1483,1500
37,1501,1557,1523,1483,1553,1485,1517,1448,1456,1500
38,1501,1557,1523,1483,1545,1483,1517,1448,1456,1477
39,1501,1557,1520,1483,1545,1464,1517,1443,1456,1477
