iteration,quality_00,quality_01,quality_02,quality_03,quality_04
0,58451,58686,58182,59433,59579
1,57886,58254,58082,59433,59579
2,57886,58254,58082,59230,59507
3,57886,58254,58082,59230,59358
4,57886,58254,58082,59230,59358
5,57886,58254,57810,59230,59358
6,57886,58254,57810,59230,59358
7,57886,58254,57810,59230,58954
8,57832,58254,57810,59230,58954
9,57832,58254,57573,59076,58954
10,57832,58254,57573,59076,58954
11,57832,58254,57573,59076,58954
12,57832,58254,57573,58988,58954
13,57380,58149,57573,58988,58954
14,57380,58149,57573,58150,58954
15,57380,58149,57573,58150,58895
16,57380,57928,57573,58150,58483
17,57380,57928,57551,58150,58483
18,57380,57928,57551,58150,58483
19,57380,57928,57551,58150,58483
20,57380,57928,57551,58150,58483
21,57184,57928,57551,58150,58483
22,57184,57928,57551,58150,58483
23,57184,57928,57551,58150,58483
24,57184,57928,57551,58150,58241
25,57184,57928,57551,58150,58241
26,57184,57928,57551,58150,58241
27,57184,57928,57446,58150,58241
28,57184,57928,57446,58150,58241
29,57184,57928,57446,58150,58241
30,57184,57928,57446,58150,58241
31,57184,57928,57446,58150,58227
32,57184,57928,57446,58150,58227
33,57184,57928,57446,58150,58227
34,57184,57928,57446,58150,58227
35,57184,57928,57446,58150,58227
36,57184,57928,57446,58150,58227
37,57184,57928,57446,58150,58227
38,57184,57928,57446,58150,58227
39,57184,57928,57446,58150,58227
40,57184,57763,57446,58011,58227
41,56758,57763,57446,58011,58227
42,56758,57763,57446,58011,58227
43,56758,57633,57446,58011,58159
44,56758,57633,57446,58011,58159
45,56758,57633,57446,58011,58159
46,56758,57633,57446,57985,58159
47,56758,57633,57446,57985,58159
48,56758,57580,57446,57985,58159
49,56758,57580,57446,57985,58159
50,56758,57532,57446,57985,58159
51,56758,57532,57446,57985,58159
52,56758,57532,57446,57985,58159
53,56758,57532,57446,57985,58159
54,56758,57532,57446,57985,58159
55,56758,57532,57446,57985,58159
56,56758,57532,57446,57985,58159
57,56758,57532,57446,57985,58159
58,56758,57532,57446,57985,58159
59,56758,57532,57446,57985,58159
60,56758,57532,57374,57726,58159
61,56758,57532,57374,57726,58159
62,56758,57532,57374,57726,58159
63,56758,57532,57374,57726,58159
64,56758,57490,57374,57726,58159
65,56758,57490,57374,57726,58159
66,56758,57490,57374,57726,58159
67,56758,57490,57374,57726,58159
68,56758,57490,57374,57726,58159
69,56758,57490,57374,57726,58159
70,56758,57490,57374,57726,58159
71,56758,57490,57374,57726,58159
72,56758,57490,57176,57726,58134
73,56758,57490,57176,57726,58075
74,56758,57490,57176,57726,57841
75,56758,57490,57176,57726,57841
76,56758,57490,57176,57726,57841
77,56758,57490,57176,57726,57841
78,56758,57490,57176,57726,56987
79,56758,57490,57176,57726,56987
80,56758,57490,57176,57726,56987
81,56758,57490,57176,57726,56987
82,56758,57490,57176,57726,56987
83,56758,57490,57176,57726,56987
84,56642,57490,57176,57726,56987
85,56642,57490,57176,57682,56987
86,56642,57490,57176,57682,56987
87,56642,57490,57176,57682,56987
88,56642,57490,57176,57682,56987
89,56642,57490,57152,57004,56867
90,56642,57490,57152,57004,56867
91,56642,57272,57152,57004,56867
92,56642,57272,57152,57004,56867
93,56642,57272,57152,57004,56867
