iteration,eil51,eil76,kroA100,gr202
0,211.4788732,268.7546468,789.885819,46.57918327
1,192.7464789,255.7249071,668.2445259,46.03286853
2,186.1032864,251.2825279,652.5528616,45.89591633
3,181.6901408,247.4907063,626.1695329,45.82171315
4,173.7793427,245.1301115,613.4009961,45.82171315
5,169.8356808,242.6765799,597.5989099,45.68625498
6,163.8497653,237.1933086,585.3890612,45.68625498
7,162.3239437,235.1672862,570.0686026,45.48505976
8,160.4460094,234.0334572,560.5140494,45.45816733
9,156.8309859,231.8959108,553.2760079,45.26344622
10,155.8450704,227.472119,547.6740908,45.26344622
11,153.4976526,224.4052045,537.8775491,45.26344622
12,152.3474178,222.8996283,528.9004793,45.21962151
13,149.4600939,218.5873606,523.6002255,44.94223108
14,146.2206573,216.6914498,518.0734893,44.5249004
15,144.8356808,215,514.3670708,44.49551793
16,140.6103286,213.2156134,511.1281834,44.18027888
17,138.0046948,210.9665428,502.4414999,44.16932271
18,137.2065728,209.3680297,497.0256555,44.16932271
19,135.5399061,207.3791822,494.3407574,44.16932271
20,133.8967136,205.7620818,490.9266046,44.16932271
21,133.3568075,203.6988848,483.1585377,44.07171315
22,130.6807512,202.063197,479.508035,44.07171315
23,129.6948357,199.2007435,475.5483507,44.07171315
24,127.6995305,198.5130112,471.6459919,43.95119522
25,125.7042254,197.0446097,468.8981299,43.95119522
26,123.9906103,194.8141264,464.6518184,43.95119522
27,121.4788732,191.8215613,459.2632271,43.89890438
28,118.6619718,190,454.3205526,43.89890438
29,117.7934272,189.4052045,452.5716568,43.89890438
30,116.0093897,188.0297398,450.1715064,43.89890438
31,115.5633803,186.802974,441.7747392,43.89193227
32,114.600939,185.4460967,439.7956019,43.89193227
33,112.4413146,183.4386617,435.2260126,43.89193227
34,112.0657277,181.9330855,432.1252702,43.89193227
35,111.2676056,181.33829,426.4068227,43.89193227
36,110.8215962,180.5947955,422.8629828,43.89193227
37,108.7793427,179.2379182,418.6213702,43.89193227
38,107.9577465,178.6245353,416.5003289,43.89193227
39,106.8309859,178.1226766,413.5781412,43.89193227
40,106.5023474,176.598513,412.310873,43.74053785
41,105.6338028,175.3903346,410.3120008,43.52838645
42,104.3896714,173.9962825,407.8625129,43.52838645
43,103.6150235,172.0817844,405.1080725,43.42978088
44,103.2629108,170.464684,403.1881402,43.42978088
45,102.1361502,169.3494424,399.3158538,43.42978088
46,101.57277,167.9553903,397.0886195,43.41683267
47,101.3380282,167.3234201,393.440936,43.41683267
48,100.5633803,166.4126394,392.4109576,43.39043825
49,99.31924883,164.9256506,388.9042383,43.39043825
50,97.86384977,164.8513011,386.6450522,43.36653386
51,97.58215962,163.0111524,382.9475613,43.36653386
52,97.04225352,161.0966543,380.7259656,43.36653386
53,95.46948357,159.8884758,379.3609623,43.36653386
54,95.42253521,159.6096654,374.0752749,43.36653386
55,94.24882629,158.1784387,372.0059205,43.36653386
56,93.30985915,156.2267658,369.0842026,43.36653386
57,91.97183099,155.5762082,367.9705855,43.36653386
58,90.42253521,154.7583643,363.3248755,43.36653386
59,90.18779343,153.4758364,361.61404,43.36653386
60,89.60093897,153.0483271,359.1913354,43.20169323
61,88.63849765,152.1561338,357.2004511,43.20169323
62,87.51173709,151.2825279,353.8224791,43.20169323
63,87.18309859,150.2973978,353.0716098,43.20169323
64,86.57276995,149.8327138,352.2493187,43.18077689
65,86.38497653,148.866171,350.3026031,43.18077689
66,86.07981221,147.472119,346.9749084,43.18077689
67,85.79812207,146.9330855,345.31482,43.18077689
68,85.11737089,146.6356877,344.4464806,43.18077689
69,84.62441315,145.9665428,342.1224509,43.18077689
70,84.1314554,145.0371747,339.7838549,43.18077689
71,83.56807512,144.2379182,339.2491307,43.18077689
72,81.7370892,142.9739777,336.1075087,43.06972112
73,81.33802817,140.9851301,334.6231557,43.04033865
74,80.63380282,140.6133829,333.0401278,42.92380478
75,80.61032864,140.1486989,331.6887511,42.92380478
76,79.20187793,140.0929368,330.3237478,42.92380478
77,78.52112676,139.2936803,327.3338972,42.92380478
78,78.19248826,138.2899628,326.8400526,42.49850598
79,77.88732394,137.1189591,325.6677004,42.49850598
80,77.76995305,136.9516729,322.7779344,42.49850598
81,77.72300469,135.9107807,321.1502678,42.49850598
82,77.30046948,135.3903346,320.5478808,42.49850598
83,77.15962441,134.9814126,318.9620336,42.49850598
84,77.15962441,133.2342007,316.2489428,42.44073705
85,76.94835681,132.6394052,314.1358895,42.4188247
86,76.76056338,132.0074349,312.6778498,42.4188247
87,75.84507042,131.2825279,311.1906776,42.4188247
88,75.39906103,130.1672862,310.8006766,42.4188247
89,75.39906103,129.3866171,310.3510008,42.00946215
90,75.28169014,128.866171,309.6696739,42.00946215
91,74.57746479,127.8810409,309.1372991,41.90089641
92,74.53051643,127.1933086,308.2515741,41.90089641
93,73.99061033,126.0037175,305.4694108,41.90089641
94,73.56807512,125.9851301,304.6349027,41.90089641
95,73.19248826,125.1115242,303.6796354,41.90089641
96,72.67605634,125.0185874,300.8998214,41.90089641
97,72.6056338,124.8327138,298.283526,41.89193227
98,72.23004695,124.8141264,296.8348839,41.79332669
99,71.59624413,124.2750929,296.2155812,41.79332669
100,70.5399061,124.2750929,294.6598064,41.74750996
101,70.49295775,123.3643123,293.4352974,41.74750996
