iteration,eil51,eil76,kroA100,gr202
0,192.9342723,251.6728625,647.6703317,57.41010956
1,190.1408451,248.1784387,639.4279203,53.37848606
2,189.1549296,245.9479554,635.1785546,51.77365538
3,187.9342723,245.6877323,634.4204022,50.45592629
4,186.8544601,245.2416357,633.6147918,50.45592629
5,186.7840376,244.6468401,632.8773142,49.72833665
6,186.6901408,244.6468401,631.9431914,49.72833665
7,185.8215962,244.4237918,631.6990884,49.72335657
8,185.8215962,243.6431227,631.6990884,49.5062251
9,183.7793427,243.3828996,631.6990884,49.09511952
10,183.5211268,243.3828996,631.6990884,48.75498008
11,183.4037559,243.0297398,630.1677474,48.75498008
12,183.4037559,243.0297398,628.5779062,48.68700199
13,183.4037559,243.0297398,628.5194061,48.5938745
14,181.7605634,243.0297398,627.6144159,48.5938745
15,181.57277,242.5650558,626.7094258,48.45791833
16,181.57277,242.5650558,626.7094258,48.4561753
17,181.57277,242.4349442,626.6478714,48.4561753
18,181.57277,242.4349442,626.5863171,48.4561753
19,181.57277,242.4349442,626.1906776,48.40861554
20,181.57277,242.3977695,625.7950381,48.40861554
21,181.57277,242.3977695,625.7950381,47.92604582
22,181.57277,241.0223048,625.5384832,47.92604582
23,181.3380282,241.0223048,625.2819284,47.78909363
24,181.3380282,241.0223048,625.2819284,47.78909363
25,181.0798122,241.0223048,625.2819284,47.69148406
26,181.0798122,241.0223048,624.5284748,47.69148406
27,181.0798122,240.8736059,623.4834602,47.69148406
28,181.0798122,240.8736059,622.488253,47.69148406
29,181.0328638,240.8364312,621.7846067,47.69148406
30,179.9061033,240.8364312,621.7846067,47.69148406
31,179.9061033,240.8364312,621.7846067,47.69148406
32,179.7887324,240.8364312,621.3457382,47.69148406
33,179.7887324,240.669145,620.4245372,47.69148406
34,179.7887324,240.669145,619.9422047,47.69148406
35,179.4835681,240.3717472,619.9422047,47.69148406
36,179.4835681,240.3717472,619.9422047,47.59188247
37,179.3192488,240.3717472,619.9422047,47.48879482
38,179.3192488,240.3717472,619.9422047,47.48879482
