iteration,eil51,eil76,kroA100,gr202
0,210.4929577,269.4237918,791.3349309,46.62076693
1,200.4460094,260.7249071,765.9491589,46.52290837
2,189.5774648,248.4572491,741.8875106,46.45293825
3,179.4835681,241.9516729,717.4297528,46.13471116
4,170.8450704,235.4275093,693.8177803,45.92978088
5,164.8826291,228.9962825,672.7685368,45.66733068
6,156.9248826,221.4684015,658.7191053,45.51917331
7,151.1502347,213.4944238,637.8098863,45.32096614
8,143.685446,206.1710037,622.0900291,44.81698207
9,135.7042254,199.5724907,606.5214735,44.73406375
10,132.0657277,193.1598513,585.9078094,44.72410359
11,125.4929577,187.1933086,570.1489522,44.65811753
12,120.5633803,182.7137546,557.0444507,44.53859562
13,116.1032864,177.2118959,548.9235034,44.15936255
14,112.2300469,169.8698885,534.7133728,43.99103586
15,106.6901408,164.7583643,522.3752467,43.92181275
16,101.3380282,157.9182156,509.1532751,43.85582669
17,97.41784038,153.8847584,498.1087304,43.80154382
18,94.24882629,147.9739777,484.6010713,43.68924303
19,91.69014085,143.9033457,471.69298,43.57420319
20,88.56807512,140.6133829,455.9519782,43.55677291
21,86.85446009,137.936803,445.5497604,43.43899402
22,84.36619718,134.5910781,430.7038812,43.23804781
23,80.8685446,133.197026,418.2111644,43.22335657
24,78.89671362,129.6282528,409.0954797,43.18027888
25,77.04225352,128.197026,399.228456,43.07295817
26,74.24882629,124.7026022,388.5429001,42.96115538
27,70.79812207,122.5464684,381.9138239,42.96115538
28,68.8028169,119.7026022,371.5581242,42.52241036
29,66.97183099,118.0297398,363.5278639,42.35483068
30,64.38967136,115.0185874,355.5610375,42.20493028
31,62.48826291,113.4200743,349.6043605,42.09885458
32,60.42253521,111.6171004,343.0673809,42.03635458
33,57.81690141,107.7137546,336.0990508,41.92803785
34,56.03286385,105.2230483,329.0325157,41.90164343
35,54.88262911,103.2899628,323.9949253,41.81299801
36,53.12206573,101.4684015,318.3037309,41.46563745
37,51.76056338,98.30855019,312.6520064,41.39317729
38,49.50704225,96.44981413,306.6234376,41.38072709
39,48.38028169,94.51672862,300.2386994,41.29257968
40,47.34741784,92.37918216,297.3790057,41.01070717
41,46.1971831,90.59479554,292.5011747,40.81772908
42,44.71830986,89.34944238,287.7074523,40.80079681
43,44.17840376,87.56505576,282.8451273,40.63496016
44,42.79342723,85.5204461,278.6467437,40.54631474
45,41.92488263,84.03345725,273.4122733,40.52838645
46,40.11737089,82.47211896,268.4522131,40.20966135
47,38.94366197,80.83643123,263.2783573,40.0124502
48,38.19248826,80.37174721,257.9358143,39.91907371
49,37.58215962,79.14498141,254.5771074,39.79058765
50,35.79812207,77.95539033,251.2588103,39.77290837
51,34.50704225,77.23048327,247.8507659,39.6752988
52,33.42723005,75.7063197,244.948783,39.66459163
53,32.69953052,74.77695167,241.7272813,39.53909363
54,31.64319249,74.14498141,237.7544404,39.48481076
55,31.15023474,72.95539033,234.1006484,39.46937251
56,30.35211268,72.37918216,232.4241143,39.43874502
57,29.31924883,71.26394052,227.1943426,39.34412351
58,28.09859155,70.33457249,222.9320553,39.26145418
59,27.76995305,69.16356877,219.1725402,39.2250996
60,26.64319249,68.58736059,214.4821915,39.13197211
61,26.22065728,67.60223048,211.2456536,38.9626494
62,25.39906103,66.95167286,208.2633211,38.85109562
63,24.43661972,65.11152416,205.6277605,38.63695219
64,24.01408451,64.51672862,203.0683206,38.49601594
65,23.4741784,63.45724907,199.3163237,38.42654382
66,22.95774648,62.69516729,195.4745795,38.18476096
67,22.25352113,61.87732342,194.1683112,38.12624502
68,21.64319249,61.09665428,192.4504276,38.04008964
69,21.1971831,60.24163569,190.3646274,37.98904382
70,20.75117371,59.3866171,186.5285218,37.83316733
71,20.09389671,58.58736059,184.4215769,37.71140438
72,20.09389671,57.67657993,180.7687247,37.69447211
73,19.74178404,57.39776952,178.8065031,37.63695219
74,19.71830986,56.33828996,176.9669204,37.50224104
75,19.50704225,54.94423792,175.027723,37.26469124
76,18.68544601,54.79553903,173.4672493,37.24252988
77,17.76995305,54.53531599,171.0891833,37.23207171
78,16.45539906,53.42007435,167.6552956,37.19795817
79,16.24413146,52.99256506,165.4473264,37.09860558
80,15.96244131,52.21189591,164.157504,37.05378486
81,15.82159624,51.05947955,162.5594399,36.86578685
82,15.5399061,50.59479554,161.3015694,36.81100598
83,15.37558685,50.16728625,160.6662908,36.68002988
84,15.21126761,49.2936803,158.7999248,36.60906375
85,14.22535211,48.73605948,157.2418006,36.60906375
86,14.17840376,48.34572491,155.6926041,36.53336653
87,13.68544601,47.23048327,154.1044075,36.46489044
88,13.68544601,46.7472119,152.7187294,36.38396414
89,13.02816901,45.81784387,150.3181092,36.36553785
90,12.58215962,45.31598513,149.4098299,36.21588645
91,12.23004695,45.11152416,146.6765342,35.88496016
92,12.23004695,44.62825279,144.0654074,35.7435259
93,12.23004695,44.2936803,140.2194343,35.65488048
94,12.0657277,43.69888476,138.6467437,35.56299801
95,12.04225352,43.02973978,137.0190772,35.54133466
96,11.38497653,42.30483271,135.3434828,35.47136454
97,11.1971831,41.57992565,133.8492623,35.47036853
98,11.1971831,41.04089219,132.7929706,35.34536853
99,10.75117371,40.81784387,131.3598346,35.30851594
100,10.07042254,40.14869888,130.311061,35.23306773
101,10.07042254,39.75836431,129.118034,35.10059761
102,9.953051643,39.07063197,127.2817404,34.83192231
103,9.953051643,38.60594796,126.3931961,34.68476096
104,9.765258216,38.04832714,124.7843248,34.56573705
105,9.718309859,37.67657993,123.0124048,34.5560259
106,9.225352113,36.80297398,120.6131942,34.54855578
107,9.225352113,36.20817844,119.7241801,34.25796813
108,9.225352113,35.27881041,118.4658397,34.20044821
109,9.154929577,34.96282528,117.2418006,34.17579681
110,9.154929577,34.46096654,116.1192557,34.02888446
111,9.131455399,33.6802974,115.6084954,33.98232072
112,9.131455399,33.60594796,114.1274316,33.88471116
113,9.107981221,32.86245353,113.4207311,33.69845618
114,9.107981221,32.82527881,112.2746922,33.52838645
115,9.107981221,32.17472119,111.381919,33.40189243
116,9.107981221,31.3197026,110.4224227,33.27763944
117,9.107981221,31.02230483,110.1047834,33.24452191
118,9.107981221,30.94795539,109.208721,33.11080677
119,9.061032864,30.48327138,108.4423456,32.9061255
120,8.896713615,29.81412639,107.8954046,32.85433267
121,8.802816901,29.73977695,107.0876797,32.83341633
122,8.802816901,29.40520446,105.842496,32.72883466
123,8.802816901,28.79182156,105.0789399,32.65214143
124,8.802816901,28.53159851,104.2148294,32.46688247
125,8.732394366,28.01115242,102.9428625,32.43999004
126,8.732394366,27.82527881,102.0176675,32.40263944
127,8.732394366,27.50929368,101.6351847,32.24228088
128,8.732394366,26.97026022,100.3730852,32.00996016
129,8.732394366,26.35687732,99.80828869,31.96289841
130,8.732394366,26.3197026,99.72277042,31.91284861
131,8.732394366,25.74349442,98.8440936,31.84312749
132,8.732394366,25.63197026,97.70557278,31.79257968
133,8.732394366,25.59479554,96.75312471,31.78486056
134,8.732394366,25.13011152,96.28606334,31.77290837
135,8.732394366,24.96282528,95.90874918,31.46538845
136,8.732394366,24.18215613,95.26971149,31.31997012
137,8.732394366,23.94052045,94.35485387,31.30403386
138,8.732394366,23.51301115,93.45832159,31.20219124
139,8.732394366,23.27137546,92.54910253,31.1312251
140,8.732394366,23.23420074,92.50728315,30.96613546
141,8.732394366,23.17843866,91.37862983,30.90039841
142,8.732394366,22.89962825,90.53096513,30.88446215
143,8.732394366,22.4535316,90.33126586,30.77241036
144,8.732394366,22.10037175,88.53162297,30.77141434
145,8.732394366,21.9330855,87.7586693,30.58864542
146,8.732394366,21.87732342,86.42608777,30.45966135
147,8.732394366,21.7472119,85.52109764,30.42131474
148,8.732394366,21.20817844,84.66450522,30.34511952
149,8.732394366,21.133829,84.13917865,30.27838645
150,8.732394366,20.96654275,83.57908091,30.27714143
151,8.732394366,20.76208178,83.25815243,30.22385458
152,8.732394366,20.74349442,82.57118692,30.10906375
153,8.732394366,20.68773234,82.22723428,30.10756972
154,8.732394366,20.40892193,81.88563105,30.08615538
155,8.732394366,20.26022305,81.05770134,30.01319721
156,8.732394366,20.26022305,80.64326661,30.00722112
157,8.732394366,20.22304833,79.69504746,29.95119522
158,8.661971831,19.92565056,79.25805845,29.80428287
159,8.661971831,19.42379182,79.00479278,29.73854582
160,8.661971831,19.33085502,78.10544122,29.71638446
161,8.661971831,19.12639405,77.66986186,29.60682271
162,8.661971831,19.01486989,76.40259374,29.58316733
163,8.661971831,18.88475836,76.14180998,29.41210159
164,8.661971831,18.88475836,75.64655577,29.39143426
165,8.661971831,18.84758364,75.16821727,29.35134462
166,8.661971831,18.62453532,74.76318015,29.30303785
167,8.661971831,18.56877323,74.22751621,29.14641434
168,8.521126761,18.56877323,73.09275444,29.12300797
169,8.521126761,18.19702602,72.77088619,29.06175299
170,8.521126761,18.04832714,72.09096889,28.88994024
171,8.450704225,18.04832714,71.57644958,28.87051793
172,8.450704225,17.89962825,71.47777465,28.85333665
173,8.450704225,17.84386617,71.01776149,28.80353586
174,8.450704225,17.75092937,70.41302509,28.72734064
175,8.356807512,17.71375465,70.0291326,28.66210159
176,8.356807512,17.15613383,69.79466216,28.54233068
177,8.356807512,17.0260223,68.96955173,28.50199203
178,8.356807512,17.0260223,68.30655014,28.48655378
179,8.262910798,16.89591078,67.66328353,28.25448207
180,8.192488263,16.67286245,67.36021051,28.21364542
181,8.192488263,16.65427509,66.79588385,28.11728088
182,8.192488263,16.65427509,65.67615826,28.11728088
183,8.192488263,16.65427509,65.46800113,27.95468127
184,8.192488263,16.44981413,64.99342167,27.95468127
185,8.192488263,16.33828996,64.77492717,27.93949203
186,8.192488263,16.11524164,64.09829903,27.92255976
187,8.192488263,15.94795539,63.67117752,27.92255976
188,8.122065728,15.94795539,63.66365943,27.90388446
189,8.122065728,15.83643123,63.29574288,27.68376494
190,8.122065728,15.81784387,62.45136735,27.66583665
191,8.122065728,15.6133829,62.18729443,27.55677291
192,8.122065728,15.48327138,61.81984776,27.48007968
193,8.122065728,15.48327138,61.3137863,27.40114542
194,8.122065728,15.48327138,61.1559064,27.3999004
195,8.122065728,15.46468401,60.38389249,27.36155378
196,7.981220657,15.29739777,59.81251762,27.33491036
197,7.981220657,15.29739777,59.65839677,27.25174303
198,7.981220657,15.24163569,59.35908279,27.13296813
199,7.981220657,14.94423792,59.07292548,27.05378486
200,7.981220657,14.70260223,58.71863547,27.03461155
201,7.981220657,14.66542751,58.26520064,26.93451195
202,7.981220657,14.55390335,57.95648905,26.92953187
203,7.981220657,14.53531599,57.78686214,26.87325697
204,7.910798122,14.53531599,56.95799267,26.60333665
205,7.910798122,14.44237918,56.5007988,26.58889442
206,7.910798122,14.44237918,56.18456912,26.56673307
207,7.910798122,14.44237918,55.57936284,26.51319721
208,7.910798122,14.2936803,54.93562635,26.44297809
209,7.910798122,14.05204461,54.82285499,26.43799801
210,7.910798122,13.99628253,54.33135983,26.33341633
211,7.910798122,13.99628253,54.24913072,26.30527888
212,7.910798122,13.88475836,53.98928672,26.22385458
213,7.676056338,13.866171,52.90527206,26.20941235
214,7.676056338,13.866171,52.60548821,26.20941235
215,7.676056338,13.81040892,52.1539329,26.16060757
216,7.676056338,13.6802974,51.96973969,26.10806773
217,7.676056338,13.6802974,51.56188328,26.06797809
218,7.676056338,13.66171004,50.90264073,26.00099602
219,7.676056338,13.66171004,50.27581994,25.97833665
220,7.676056338,13.64312268,49.37270933,25.84437251
221,7.488262911,13.64312268,49.11474485,25.78486056
222,7.488262911,13.64312268,48.87839489,25.67778884
223,7.488262911,13.64312268,48.87651537,25.67380478
224,7.488262911,13.51301115,48.03495912,25.65936255
225,7.488262911,13.51301115,47.81834414,25.65936255
226,7.488262911,13.42007435,47.24555963,25.65936255
227,7.488262911,13.36431227,46.81092003,25.6563745
228,7.488262911,13.21561338,46.41669016,25.60283865
229,7.488262911,13.21561338,46.18644864,25.59088645
230,7.488262911,13.14126394,45.8547129,25.57096614
231,7.488262911,13.08550186,45.50324218,25.49452191
232,7.488262911,12.9739777,44.95207217,25.40537849
233,7.488262911,12.93680297,44.79936096,25.40537849
234,7.488262911,12.93680297,44.40936002,25.37275896
235,7.488262911,12.93680297,43.91175641,25.30129482
236,7.488262911,12.93680297,43.9000094,25.18202191
237,7.488262911,12.93680297,43.6448642,25.17305777
238,7.488262911,12.93680297,43.40146603,25.17305777
239,7.488262911,12.93680297,43.12846537,25.1127988
240,7.488262911,12.93680297,43.01287473,25.07146414
241,7.488262911,12.93680297,42.27563199,25.04805777
242,7.488262911,12.93680297,42.23287285,24.99302789
243,7.488262911,12.93680297,42.16380039,24.90388446
244,7.488262911,12.93680297,41.89549854,24.89442231
245,7.488262911,12.88104089,41.40588291,24.75074701
246,7.488262911,12.88104089,41.38144911,24.71912351
247,7.488262911,12.88104089,41.37017198,24.65064741
248,7.488262911,12.88104089,41.32553331,24.49875498
249,7.488262911,12.78810409,41.24659337,24.49825697
250,7.488262911,12.78810409,40.78094164,24.44173307
251,7.488262911,12.69516729,40.38765154,24.40189243
252,7.488262911,12.69516729,40.31200075,24.40189243
253,7.441314554,12.69516729,40.28239827,24.40189243
254,7.441314554,12.69516729,40.22037402,24.29731076
255,7.441314554,12.69516729,39.83601165,24.29731076
256,7.441314554,12.69516729,39.21201015,24.24750996
257,7.441314554,12.69516729,39.21201015,24.23157371
258,7.441314554,12.69516729,38.86664787,24.2310757
259,7.441314554,12.6394052,38.6594305,24.20343625
260,7.441314554,12.62081784,38.49732168,24.12375498
261,7.441314554,12.56505576,37.91091063,24.12375498
262,7.441314554,12.56505576,37.75209097,24.10184263
263,7.441314554,12.56505576,37.68630768,24.08092629
264,7.441314554,12.47211896,37.57447608,24.0502988
265,7.441314554,12.39776952,37.07264355,24.0502988
266,7.441314554,12.39776952,36.42232873,24.03560757
267,7.441314554,12.39776952,35.94821915,24.00298805
268,7.441314554,12.39776952,35.62259186,23.95069721
269,7.441314554,12.17472119,35.62259186,23.93874502
270,7.441314554,12.17472119,35.29978385,23.92355578
271,7.441314554,12.13754647,35.12122921,23.92355578
272,7.441314554,12.13754647,34.95536134,23.85707171
273,7.441314554,12.13754647,34.63208345,23.79805777
274,7.441314554,12.13754647,34.58274598,23.78162351
275,7.441314554,12.08178439,34.54186637,23.77639442
276,7.441314554,12.04460967,34.2228174,23.77639442
277,7.441314554,12.04460967,34.00808195,23.75149402
278,7.441314554,12.04460967,33.16746546,23.73979084
279,7.441314554,11.97026022,32.93252514,23.69671315
280,7.441314554,11.97026022,32.76430787,23.6815239
281,7.441314554,11.97026022,32.34893337,23.67878486
282,7.441314554,11.95167286,32.17272813,23.65587649
283,7.441314554,11.95167286,31.73104032,23.56175299
284,7.441314554,11.95167286,31.51113617,23.56175299
285,7.441314554,11.95167286,31.45334085,23.56150398
286,7.441314554,11.95167286,31.32177427,23.54332669
287,7.441314554,11.95167286,31.07602669,23.44920319
288,7.441314554,11.95167286,30.92566488,23.43351594
289,7.441314554,11.95167286,30.13203646,23.40239044
290,7.441314554,11.95167286,29.89709614,23.39243028
291,7.441314554,11.95167286,29.82191523,23.37773904
292,7.441314554,11.95167286,29.45681797,23.25074701
293,7.441314554,11.95167286,29.34498637,23.24501992
294,7.441314554,11.95167286,28.96250352,23.24501992
295,7.441314554,11.95167286,28.94887699,23.19721116
296,7.441314554,11.95167286,28.64345456,23.05253984
297,7.441314554,11.95167286,28.63969552,23.05253984
298,7.441314554,11.95167286,28.38455032,23.02440239
299,7.441314554,11.95167286,28.01569401,22.98431275
300,7.441314554,11.95167286,27.57588573,22.84412351
301,7.441314554,11.95167286,27.57588573,22.84113546
302,7.441314554,11.95167286,27.56554835,22.81698207
303,7.441314554,11.95167286,27.48143971,22.81698207
304,7.441314554,11.95167286,27.23005357,22.78486056
305,7.441314554,11.95167286,27.0980171,22.69646414
306,7.441314554,11.95167286,27.07640259,22.69646414
307,7.441314554,11.91449814,27.07640259,22.65537849
308,7.370892019,11.89591078,26.96879992,22.52041833
309,7.370892019,11.89591078,26.95376374,22.49800797
310,7.370892019,11.89591078,26.9500047,22.49701195
311,7.370892019,11.72862454,26.79964289,22.49701195
312,7.370892019,11.72862454,26.79964289,22.49701195
313,7.370892019,11.72862454,26.48482285,22.47285857
314,7.370892019,11.72862454,26.48482285,22.47285857
315,7.370892019,11.72862454,26.48482285,22.39118526
316,7.370892019,11.72862454,26.48482285,22.37176295
317,7.370892019,11.72862454,26.37909971,22.34636454
318,7.370892019,11.72862454,26.29875012,22.27415339
319,7.370892019,11.72862454,26.28277418,22.25224104
320,7.370892019,11.71003717,25.98299032,22.06474104
321,7.370892019,11.65427509,25.6531341,21.99277888
322,7.370892019,11.65427509,25.62071234,21.95717131
323,7.370892019,11.65427509,25.23634997,21.95418327
324,7.370892019,11.65427509,25.23634997,21.90886454
325,7.370892019,11.65427509,25.23634997,21.89790837
326,7.370892019,11.65427509,25.14425336,21.83864542
327,7.370892019,11.65427509,24.95207217,21.83864542
328,7.370892019,11.65427509,24.60811954,21.82046813
329,7.370892019,11.61710037,24.60811954,21.80851594
330,7.370892019,11.61710037,24.27450428,21.74651394
331,7.370892019,11.61710037,23.82999718,21.74626494
332,7.370892019,11.61710037,23.58565924,21.68525896
333,7.370892019,11.61710037,23.56263509,21.67704183
334,7.370892019,11.61710037,23.38736961,21.67355578
335,7.370892019,11.54275093,23.38736961,21.65562749
336,7.370892019,11.54275093,23.38736961,21.65562749
337,7.370892019,11.54275093,23.36246593,21.65562749
338,7.370892019,11.54275093,23.17545343,21.56748008
339,7.370892019,11.46840149,23.12235692,21.54930279
340,7.370892019,11.46840149,23.05093506,21.50996016
341,7.370892019,11.46840149,22.98468189,21.4750996
342,7.370892019,11.46840149,22.8728503,21.44795817
343,7.370892019,11.46840149,22.8728503,21.3872012
344,7.370892019,11.46840149,22.53406635,21.3872012
345,7.370892019,11.44981413,22.51198196,21.33864542
346,7.370892019,11.44981413,22.51198196,21.31000996
347,7.370892019,11.39405204,22.4259938,21.30751992
348,7.370892019,11.20817844,22.38746358,21.30751992
349,7.370892019,11.20817844,22.37853585,21.30751992
350,7.370892019,11.20817844,22.24649939,21.18426295
351,7.370892019,11.20817844,22.24649939,21.18052789
352,7.370892019,11.15241636,22.20421013,21.18052789
353,7.370892019,11.15241636,22.17977634,21.13371514
354,7.370892019,11.15241636,22.12902923,21.13222112
355,7.370892019,11.04089219,21.97302885,21.04905378
356,7.370892019,11.04089219,21.97302885,21.03809761
357,7.370892019,10.91078067,21.97067945,20.92579681
358,7.370892019,10.91078067,21.97067945,20.78934263
359,7.370892019,10.91078067,21.97067945,20.78934263
360,7.370892019,10.91078067,21.72399211,20.73505976
361,7.370892019,10.91078067,21.69063058,20.71364542
362,7.370892019,10.91078067,21.69063058,20.71364542
363,7.370892019,10.79925651,21.46132882,20.7001992
364,7.370892019,10.79925651,21.45897942,20.66957171
365,7.370892019,10.79925651,21.31237666,20.55502988
366,7.370892019,10.79925651,21.22450897,20.55502988
367,7.370892019,10.74349442,21.22450897,20.54755976
368,7.370892019,10.74349442,21.09623156,20.4375
369,7.370892019,10.74349442,21.09106287,20.42778884
370,7.370892019,10.74349442,21.04971337,20.35881474
371,7.370892019,10.63197026,20.96043605,20.35881474
372,7.370892019,10.63197026,20.7259656,20.2873506
373,7.370892019,10.63197026,20.7259656,20.26444223
374,7.370892019,10.63197026,20.7259656,20.26444223
375,7.370892019,10.63197026,20.69871253,20.24925299
376,7.370892019,10.63197026,20.58171225,20.24701195
377,7.370892019,10.57620818,20.40409736,20.12325697
378,7.370892019,10.57620818,20.37966357,20.12325697
379,7.370892019,10.57620818,20.35053097,19.99203187
380,7.370892019,10.57620818,20.35053097,19.97435259
381,7.370892019,10.57620818,20.26125364,19.97435259
382,7.370892019,10.57620818,20.26125364,19.97061753
383,7.370892019,10.57620818,19.99154215,19.95816733
384,7.370892019,10.57620818,19.95536134,19.92255976
385,7.370892019,10.57620818,19.95254205,19.92255976
386,7.370892019,10.57620818,19.95254205,19.92181275
387,7.370892019,10.57620818,19.95254205,19.85358566
388,7.370892019,10.57620818,19.89709614,19.85358566
389,7.370892019,10.57620818,19.89709614,19.83441235
390,7.370892019,10.40892193,19.87313222,19.78336653
391,7.370892019,10.40892193,19.87313222,19.78336653
392,7.370892019,10.40892193,19.73075839,19.77066733
393,7.370892019,10.27881041,19.43755286,19.73281873
394,7.370892019,10.20446097,19.40842026,19.68625498
395,7.370892019,10.20446097,19.40325157,19.66359562
396,7.370892019,10.20446097,19.40325157,19.63944223
397,7.370892019,10.20446097,19.35720327,19.63944223
398,7.370892019,10.20446097,19.35720327,19.5749502
399,7.370892019,10.20446097,19.06211822,19.5749502
400,7.370892019,10.20446097,19.03956395,19.5749502
401,7.370892019,10.20446097,18.90940701,19.5749502
402,7.370892019,10.20446097,18.75058735,19.5749502
403,7.370892019,10.20446097,18.64063528,19.55976096
404,7.370892019,10.20446097,18.64063528,19.5438247
405,7.370892019,10.20446097,18.64063528,19.5438247
406,7.370892019,10.20446097,18.47758669,19.47883466
407,7.370892019,10.20446097,18.11295931,19.43476096
408,7.370892019,10.20446097,18.11295931,19.34138446
409,7.370892019,10.20446097,18.11295931,19.3314243
410,7.370892019,10.20446097,18.09463396,19.24576693
411,7.370892019,10.20446097,18.09463396,19.20667331
412,7.370892019,10.20446097,18.04435673,19.20667331
413,7.370892019,10.20446097,18.04435673,19.20592629
414,7.370892019,10.20446097,18.04435673,19.20592629
415,7.370892019,10.20446097,18.04435673,19.20592629
416,7.370892019,10.20446097,18.02039282,19.04656375
417,7.370892019,10.20446097,18.02039282,18.91459163
418,7.370892019,10.20446097,18.02039282,18.91459163
419,7.370892019,10.20446097,18.02039282,18.88645418
420,7.370892019,10.20446097,17.88412743,18.88645418
421,7.370892019,10.20446097,17.83525984,18.84611554
422,7.370892019,10.14869888,17.77135608,18.8311753
423,7.370892019,10.14869888,17.48003007,18.82046813
424,7.370892019,10.0929368,17.48003007,18.82046813
425,7.370892019,10.05576208,17.48003007,18.82046813
426,7.370892019,10.05576208,17.48003007,18.82046813
427,7.370892019,10.05576208,17.338596,18.79880478
428,7.370892019,10.05576208,17.338596,18.7689243
429,7.370892019,10.05576208,17.26952354,18.7689243
430,7.370892019,10.05576208,17.11070388,18.6376992
431,7.370892019,10.05576208,17.11070388,18.59412351
432,7.370892019,10.05576208,17.11070388,18.59412351
433,7.370892019,9.981412639,17.11070388,18.59412351
434,7.370892019,9.981412639,16.99652288,18.59412351
435,7.370892019,9.981412639,16.99652288,18.59412351
436,7.370892019,9.981412639,16.99652288,18.58715139
437,7.370892019,9.962825279,16.99652288,18.5814243
438,7.370892019,9.962825279,16.84616108,18.42455179
439,7.370892019,9.962825279,16.80622122,18.41658367
440,7.370892019,9.962825279,16.63471478,18.41658367
441,7.370892019,9.962825279,16.54590734,18.39292829
442,7.370892019,9.962825279,16.5200639,18.39292829
443,7.370892019,9.962825279,16.5200639,18.29506972
444,7.370892019,9.962825279,16.44394324,18.22908367
445,7.370892019,9.962825279,16.44394324,18.18974104
446,7.370892019,9.962825279,16.39695517,18.18974104
447,7.370892019,9.962825279,16.39695517,18.18202191
448,7.370892019,9.962825279,16.39319613,18.18202191
449,7.370892019,9.962825279,16.39319613,18.12798805
450,7.370892019,9.795539033,16.37064186,18.12798805
451,7.370892019,9.795539033,16.37064186,18.12699203
452,7.370892019,9.795539033,16.37064186,18.12101594
453,7.370892019,9.795539033,16.37064186,18.12101594
454,7.370892019,9.795539033,16.37064186,18.11553785
455,7.370892019,9.795539033,16.37064186,18.0684761
456,7.370892019,9.795539033,16.36594305,18.04108566
457,7.370892019,9.795539033,16.36594305,18.02315737
458,7.370892019,9.795539033,16.36594305,18.02315737
459,7.370892019,9.795539033,16.36594305,18.00249004
460,7.370892019,9.795539033,16.31519594,17.93002988
